,feature,gain,split
9,X4,21.186333587979092,209
0,app,16.430778401284357,739
15,ip_app_count,13.746870466229138,209
30,next_click_0,8.448215148345524,444
3,channel,8.440640050705074,793
13,X8,5.971832394271133,153
2,os,4.170982218445709,619
11,X6,3.8585779334810577,113
33,next_click_3,2.981148423843275,104
14,ip_tcount,2.740826758032881,184
5,X0,1.7195041638257218,181
1,device,1.706752541767453,106
8,X3,1.6994547559963162,173
28,ip_channel_app_countuniq,1.335675650246958,56
4,hour,0.9131571811911084,522
16,ip_app_os_count,0.8980860024042926,121
6,X1,0.7572862610594184,116
27,channel_day_hour_var,0.6590911776799372,114
23,device_day_var,0.5235193417957834,22
29,ip_device_countuniq,0.3999815031320698,110
20,ip_app_channel_mean_hour,0.29878663446410003,128
10,X5,0.2709161622512116,147
21,ip_app_channel_var_hour,0.17965121818012703,89
12,X7,0.1449374304629862,95
7,X2,0.13154018234794912,93
32,next_click_2,0.12650842669888,36
18,ip_app_os_var,0.08743374479439649,107
19,ip_app_channel_var_day,0.07965722454678983,88
17,ip_tchan_count,0.045927833092777266,78
22,device_day_countuniq,0.010776011856504746,3
26,channel_day_hour_countuniq,0.009400471840664216,16
24,device_day_hour_countuniq,0.008564950350516048,9
25,device_day_hour_var,0.007972675321744211,11
34,next_click_4,0.005302050614263003,6
31,next_click_1,0.003911021460790667,6
