,feature,gain,split
0,app,39.46852014539082,488
9,X4,15.787226742114692,87
15,ip_app_count,10.958876329787033,94
3,channel,10.68343936001657,709
30,next_click_0,6.80159802468618,320
2,os,4.00591027006768,582
13,X8,2.105437886312028,82
5,X0,1.762962471029462,141
1,device,1.5156973341630346,70
8,X3,1.3879073023538278,97
33,next_click_3,1.077841246662702,54
27,channel_day_hour_var,0.672256490656447,40
14,ip_tcount,0.6323894397332814,92
6,X1,0.5802995164466384,57
4,hour,0.542741602945048,229
32,next_click_2,0.4125277650887743,9
11,X6,0.3988809213490977,42
10,X5,0.25814291144024726,73
16,ip_app_os_count,0.25668231413455855,58
29,ip_device_countuniq,0.22774113423093112,36
12,X7,0.19304605648007497,63
7,X2,0.08732253463887492,37
20,ip_app_channel_mean_hour,0.04895217592752368,42
19,ip_app_channel_var_day,0.032349413270867815,29
21,ip_app_channel_var_hour,0.02928758939907147,33
18,ip_app_os_var,0.02753201632125999,29
17,ip_tchan_count,0.022701123118586283,26
28,ip_channel_app_countuniq,0.00743033091108186,8
31,next_click_1,0.004474171482498426,3
34,next_click_4,0.0030130814754089214,4
23,device_day_var,0.002650757139779609,4
26,channel_day_hour_countuniq,0.0021332847182861164,2
24,device_day_hour_countuniq,0.0017815206840944696,1
22,device_day_countuniq,0.00024673582353965166,1
25,device_day_hour_var,0.0,0
