,feature,gain,split
9,X4,21.77781243233449,143
0,app,15.044147497400122,519
15,ip_app_count,14.531893945043384,133
30,next_click_0,8.486500585110246,356
3,channel,8.32337750981975,558
13,X8,6.211114985232701,130
11,X6,4.044192300750197,107
33,next_click_3,3.097382288641363,89
2,os,2.8754132688305556,369
14,ip_tcount,2.5993233559501885,127
28,ip_channel_app_countuniq,2.1702616252533278,54
1,device,1.8639928340357905,98
5,X0,1.6572377898787594,142
6,X1,1.4672572712892384,94
16,ip_app_os_count,1.067782565910958,97
8,X3,0.852854430531708,112
4,hour,0.7696261629324661,348
27,channel_day_hour_var,0.6618806454753011,64
23,device_day_var,0.5040117367241465,19
29,ip_device_countuniq,0.48900653908126307,69
20,ip_app_channel_mean_hour,0.31871902825693926,63
10,X5,0.26833076730087285,108
32,next_click_2,0.21223530210237823,24
7,X2,0.2098148898450165,72
12,X7,0.1775030672624024,51
21,ip_app_channel_var_hour,0.0994246994617316,45
22,device_day_countuniq,0.06703136288593783,5
19,ip_app_channel_var_day,0.055380012632172744,54
18,ip_app_os_var,0.048354714097978896,49
25,device_day_hour_var,0.029287247008413612,26
17,ip_tchan_count,0.008445222353011027,19
26,channel_day_hour_countuniq,0.004535011384426811,11
34,next_click_4,0.0036778658943110274,4
24,device_day_hour_countuniq,0.0021274102164896753,4
31,next_click_1,6.362907196231111e-05,1
