,feature,gain,split
0,app,45.104976745718034,637
15,ip_app_count,13.4164631637157,139
9,X4,9.77565490607837,96
3,channel,8.446393167616076,945
30,next_click_0,6.892575001841266,350
2,os,4.342952668776235,754
13,X8,2.1474219200470106,97
8,X3,2.1285089404100095,133
5,X0,0.8956388870965234,172
4,hour,0.7409377619307178,382
37,next_click_7,0.7264897701643922,41
33,next_click_3,0.7076844350612366,12
14,ip_tcount,0.6745134650226416,98
1,device,0.49917184572704215,66
6,X1,0.48457282672213986,67
27,channel_day_hour_var,0.45685147066685833,48
23,device_day_var,0.44198062903298097,9
10,X5,0.40714302767095395,91
11,X6,0.2689360165164129,49
43,next_click_13,0.23840655616789888,11
7,X2,0.23713514077453426,55
39,next_click_9,0.19291588914040658,13
16,ip_app_os_count,0.16686587791359983,67
12,X7,0.16133077639819318,81
29,ip_device_countuniq,0.09574839570086162,39
25,device_day_hour_var,0.07955913836855849,5
20,ip_app_channel_mean_hour,0.06157698818331969,58
18,ip_app_os_var,0.061444250608961706,61
19,ip_app_channel_var_day,0.0413504355485852,48
21,ip_app_channel_var_hour,0.04082597145140205,53
17,ip_tchan_count,0.032372039721552316,39
28,ip_channel_app_countuniq,0.009246656001683218,10
35,next_click_5,0.007239531663850717,4
36,next_click_6,0.0032060139982704877,5
32,next_click_2,0.0030401771781264925,5
38,next_click_8,0.0029251591651151803,6
34,next_click_4,0.0019609682479562324,2
31,next_click_1,0.0012019813005274143,2
44,next_click_14,0.0012012819498419857,3
26,channel_day_hour_countuniq,0.0011191243565459405,2
42,next_click_12,0.00042966771992646713,2
40,next_click_10,3.1328625679855706e-05,1
41,next_click_11,0.0,0
24,device_day_hour_countuniq,0.0,0
22,device_day_countuniq,0.0,0
