,feature,gain,split
0,app,46.48357375728566,1665
15,ip_app_count,16.81654177931818,322
9,X4,10.707068594365548,219
3,channel,9.331126437973358,2827
26,next_click_0,4.3756428191777506,641
2,os,2.2731078772027913,2060
32,next_click_6,1.35252275521485,150
8,X3,1.0049610856907998,244
1,device,0.9756062726363496,140
29,next_click_3,0.9569951110507633,142
4,hour,0.9230481728193116,1727
13,X8,0.837152587672247,339
31,next_click_5,0.5676124272576182,206
5,X0,0.5337282494396481,252
10,X5,0.496883597008903,269
6,X1,0.43827363818291554,157
14,ip_tcount,0.3853188742905269,212
30,next_click_4,0.3616798291064382,178
19,ip_device_mean_hour,0.1971577268504443,291
7,X2,0.1898435223098324,146
11,X6,0.14207803991498844,150
27,next_click_1,0.11901436743682194,113
24,ip_device_var_hour,0.08807512076151203,198
33,next_click_7,0.08110499914498287,122
25,ip_device_countuniq,0.07713126591108538,84
18,ip_app_mean_hour,0.05650710294514547,159
12,X7,0.03951254519789712,110
20,channel_day_hour_var,0.03811590832412455,163
23,ip_app_var_hour,0.03654983720952458,121
28,next_click_2,0.027212660172096673,80
16,ip_channel_mean_hour,0.023219299835185735,107
21,device_day_hour_var,0.02131312283147188,62
17,ip_app_os_mean_hour,0.021260112046051716,113
22,ip_app_channel_var_hour,0.02106050341515837,121
