,feature,gain,split
0,app,51.25528819062331,1577
9,X4,12.603345598993652,266
15,ip_app_count,11.28029830344004,263
3,channel,7.75763344836206,2668
28,next_click_0,4.545648313219134,593
2,os,2.254233680851093,2108
5,X0,1.283947202468435,233
34,next_click_6,1.238335625435201,161
13,X8,1.1140359098462163,294
4,hour,0.9201215227785338,1605
8,X3,0.7324139195672471,236
1,device,0.6971556641814174,144
31,next_click_3,0.658198893128614,123
11,X6,0.6317127116598812,134
30,next_click_2,0.44409246933020974,120
33,next_click_5,0.44297260820951956,210
10,X5,0.4191041588524633,279
14,ip_tcount,0.3745945762722309,232
6,X1,0.2707609298581501,155
27,ip_device_countuniq,0.21154822065035436,76
16,ip_app_os_count,0.18588418591136277,197
7,X2,0.15386018242549523,142
32,next_click_4,0.13179668154992352,125
20,ip_app_mean_hour,0.11234646218586446,244
29,next_click_1,0.07448652378811398,136
12,X7,0.06876524887875525,115
21,channel_day_hour_var,0.03028064659793594,139
23,ip_app_channel_var_hour,0.0266209327019637,140
19,ip_app_os_mean_hour,0.026126904830674855,82
17,ip_app_channel_mean_hour,0.016027208595179476,84
22,device_day_hour_var,0.014912510677461672,49
18,ip_app_channel_device_os_mean_hour,0.013134839513298984,80
26,ip_channel_app_countuniq,0.006490568752034293,33
25,channel_day_hour_countuniq,0.0021357207885173354,13
24,device_day_hour_countuniq,0.0016894350756418949,9
