,feature,gain,split
0,app,40.23523017582578,569
9,X4,18.990080803906288,107
3,channel,10.0396293033377,613
15,ip_app_count,9.992514129568068,104
30,next_click_0,6.2859354258766595,373
2,os,2.2810559003303625,473
5,X0,2.0902795011649853,113
33,next_click_3,2.072736178084107,78
13,X8,1.6166291794827103,128
1,device,1.3522850429795725,92
11,X6,0.9665081897629484,78
8,X3,0.7369575975226879,116
4,hour,0.6769016704131232,267
14,ip_tcount,0.5708024956050768,123
10,X5,0.38922959254961687,81
28,ip_channel_app_countuniq,0.38699367855051675,9
6,X1,0.3487281103144689,39
27,channel_day_hour_var,0.3306208502950493,48
16,ip_app_os_count,0.21228747237684376,65
29,ip_device_countuniq,0.1626227026503479,43
7,X2,0.08478722384011385,47
21,ip_app_channel_var_hour,0.06940294234291869,21
20,ip_app_channel_mean_hour,0.03161528201521579,39
12,X7,0.030266484323233405,33
25,device_day_hour_var,0.01014810051302618,14
18,ip_app_os_var,0.00934418227725917,16
23,device_day_var,0.00849625153461798,5
19,ip_app_channel_var_day,0.007316804198534784,19
32,next_click_2,0.004331807058131719,9
17,ip_tchan_count,0.003309441519618867,9
24,device_day_hour_countuniq,0.002556388460204953,4
31,next_click_1,0.00039709132021219744,3
26,channel_day_hour_countuniq,0.0,0
22,device_day_countuniq,0.0,0
34,next_click_4,0.0,0
