,feature,gain,split
9,X4,21.71293555034092,146
0,app,16.604134643951372,533
15,ip_app_count,13.769459271346376,110
30,next_click_0,8.405553809569946,368
3,channel,7.877193052666575,542
13,X8,5.888618251382634,121
11,X6,3.8618236382988766,104
2,os,3.5569447761478767,394
33,next_click_3,2.97944093360906,88
14,ip_tcount,2.6201714949158306,128
5,X0,2.056780225302155,162
28,ip_channel_app_countuniq,2.0435263520760176,47
1,device,1.8036375605845854,99
6,X1,1.4146016838810553,88
16,ip_app_os_count,1.0605109705947855,94
8,X3,0.8773292745838,125
4,hour,0.7308522678918901,344
27,channel_day_hour_var,0.6483918097682074,57
29,ip_device_countuniq,0.41153309784743536,61
23,device_day_var,0.3709674451627681,18
20,ip_app_channel_mean_hour,0.35027467232058135,70
10,X5,0.2229046638632737,105
32,next_click_2,0.19928806232024932,28
12,X7,0.14162095400784253,48
7,X2,0.13547328002715517,62
21,ip_app_channel_var_hour,0.10659485123545245,44
18,ip_app_os_var,0.048281126745408035,55
19,ip_app_channel_var_day,0.03234278759430059,52
22,device_day_countuniq,0.023834295605060292,3
25,device_day_hour_var,0.020845587389884717,22
17,ip_tchan_count,0.013128245216677652,24
34,next_click_4,0.0049473311804631714,7
26,channel_day_hour_countuniq,0.003703066201578668,10
24,device_day_hour_countuniq,0.0014066002291571323,2
31,next_click_1,0.0009483661407481361,3
